auditor,auditReportPageRange,link,page_text
,51 - 56,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0429/2020042902424.pdf,55
,6 - 7,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042901960.pdf,"Independent Auditor™s Report (continued)Auditor™s Responsibilities for the Audit of the Financial StatementsReport on matters under the relevant provisions of the Trust Deed and the relevant disclosure provisions of Appendix E of the SFC CodeKPMGCertified Public Accountants8th Floor, Prince™s Building10 Chater RoadCentral, Hong Kong28 April 2020Ourobjectivesaretoobtainreasonableassuranceaboutwhetherthefinancialstatementsasawholearefreefrommaterialmisstatement,whetherduetofraudorerror,andtoissueanauditor™sreportthatincludesouropinion.Thisreportismadesolelytoyou,asabody,andfornootherpurpose.Wedonotassumeresponsibilitytowardsoracceptliabilitytoanyotherperson for the contents of this report. ReasonableassuranceisahighlevelofassurancebutisnotaguaranteethatanauditconductedinaccordancewithHKSAswillalwaysdetectamaterialmisstatementwhenitexists.Misstatementscanarisefromfraudorerrorandareconsideredmaterialif,individuallyorintheaggregate,theycouldreasonablybeexpectedtoinfluencetheeconomicdecisionsofuserstakenonthebasisofthesefinancialstatements.Inaddition,wearerequiredtoassesswhetherthefinancialstatementsoftheFundhavebeenproperlyprepared,inallmaterialrespects, in accordance with the relevant provisions of the Trust Deed and the relevant disclosure provisions of Appendix E of the SFC Code.As part of an audit in accordance with HKSAs, we exercise professional judgement and maintain professional scepticism throughout the audit. We also:The engagement partner on the audit resulting in this independent auditor™s report is Chui Ming Wai, Vivian.ŁIdentifyandassesstherisksofmaterialmisstatementofthefinancialstatements,whetherduetofraudorerror,designandperformauditproceduresresponsivetothoserisks,andobtainauditevidencethatissufficientandappropriatetoprovideabasisforouropinion.Theriskofnotdetectingamaterialmisstatementresultingfromfraudishigherthanforoneresulting from error, as fraud may involve collusion, forgery, intentional omissions, misrepresentations or the override of internal control.FromthematterscommunicatedwiththeManagerandtheTrusteeoftheFund,wedeterminethosemattersthatwereofmostsignificanceintheauditofthefinancialstatementsofthecurrentperiodandarethereforethekeyauditmatters.Wedescribethesemattersinourauditor™sreportunlesslaworregulationprecludespublicdisclosureaboutthematterorwhen,inextremelyrarecircumstances,wedeterminethatamattershouldnotbecommunicatedinourreportbecausetheadverseconsequencesofdoingsowouldreasonablybeexpectedtooutweigh the public interest benefits of such communication.Inouropinion,thefinancialstatementshavebeenproperlyprepared,inallmaterialrespects,inaccordancewiththerelevantprovisionsoftheTrustDeedandtherelevantdisclosureprovisions of Appendix E of the SFC Code.ŁObtainanunderstandingofinternalcontrolrelevanttotheauditinordertodesignauditproceduresthatareappropriateinthecircumstancesbutnotforthepurposeofexpressinganopinion on the effectiveness of the Fund™s internal control.ŁConcludeontheappropriatenessoftheManager™sandtheTrustee™suseofthegoingconcernbasisofaccountingand,basedontheauditevidenceobtained,whetheramaterialuncertaintyexistsrelatedtoeventsorconditionsthatmaycastsignificantdoubtontheFund™sabilitytocontinueasagoingconcern.Ifweconcludethatamaterialuncertaintyexists,wearerequiredtodrawattentioninourauditor™sreporttotherelateddisclosuresinthefinancialstatementsor,ifsuchdisclosuresareinadequate,tomodifyouropinion.Ourconclusionsarebased on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Fund to cease to continue as a going concern.ŁEvaluatetheoverallpresentation,structureandcontentofthefinancialstatements,includingthedisclosures,andwhetherthefinancialstatementsrepresenttheunderlyingtransactions and events in a manner that achieves fair presentation.WecommunicatewiththeManagerandtheTrusteeoftheFundregarding,amongothermatters,theplannedscopeandtimingoftheauditandsignificantauditfindings,includinganysignificant deficiencies in internal control that we identify during our audit.WealsoprovidetheManagerandtheTrusteeoftheFundwithastatementthatwehavecompliedwithrelevantethicalrequirementsregardingindependenceandcommunicatewiththem all relationships and other matters that may reasonably be thought to bear on our independence and, where applicable, related safeguards. Ł  Evaluate the appropriateness of accounting policies used and the reasonableness of accounting estimates and related disclosures made by the Manager and the Trustee of the Fund."
,47 - 48,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042901239.pdf,"48102115RESPONSIBILITIES FOR PREPARATION OF ACCOUNTSThe directors are responsible for the preparation of financial statements in compliance with the relevant regulations and applicable accounting standards.The responsibility of the auditors with respect to the financial reporting are set out in the Independent Auditor™s Report on pages 102 to 115 of this annual report.RISK MANAGEMENT AND INTERNAL CONTROLThe clear-cut governance structure, policy and procedure, and report mechanism of the Group™s, risk management and internal control system enables the Group to conduct the relevant risk management.ResponsibilityThe Board is responsible for the risk management and internal control system, the Board should review the effectiveness of the system. The management is responsible for designing and executing the internal control system in order to manage the risks that the Company is faced with to recognize and manage risks to minimize, relieve, transfer or avoid these risks. The Board elaborates on the above risk management and internal control system to make clear that it aims to manage risks rather than eliminate the risks leading to failure of achieving business objectives. Thus, the system can only make reasonable, rather than absolute, guarantee against material misrepresentation or loss."
,69 - 69,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900804.pdf,"68GUANGDONG YUEYUN TRANSPORTATION COMPANY LIMITEDCORPORATE GOVERNANCE REPORTSUPERVISORY COMMITTEEAs at 31 December 2019, the supervisory committee of the Company (the ﬁSupervisory Committeeﬂ) comprised seven members, including two independent Supervisors (namely Mr. Dong Yihua and Mr. Lin Hai), two Supervisors appointed by Shareholders (namely Mr. Hu Xianhua and Mr. Wang Qingwei) and three Supervisors representing the staff of the Company (namely Mr. Zhen Jianhui, Ms. Li Xiangrong and Ms. Lian Yuebin). The Supervisory Committee is responsible for supervising the Board, the Directors as well as the senior management of the Company, so as to prevent them from abusing their power to damage the lawful rights and interests of the Shareholders, the Company and its employees.For the year ended 31 December 2019, the Supervisory Committee reviewed and examined the financial position and the legal compliance of the operations of the Company and performed its duties under the principles of due care through conducting special inspections and convening the Supervisory Committee™s meetings and attending the Board meetings of the Company.During the year ended 31 December 2019, the Supervisory Committee held two meetings with an average attendance rate of 100%.FEES OF THE EXTERNAL AUDITORThe Company has appointed KPMG Huazhen LLP as the independent auditor of the Company. The fees for the audit and non-audit services provided by the above auditor to the Group for the year ended 31 December 2019 amounted to RMB8,750,000 (tax included), of which RMB8,250,000 was audit service fees, and RMB500,000 was non-audit service fees (being the interim review fees).The statement of the Company™s auditor concerning its responsibilities in the financial statements of the Company is set out in the Auditors™Report of this annual report.The Company has received the confirmation of independence from the external auditor. The Board and the Audit and Corporate Governance Committee have no disagreement in respect of the appointment of external auditor.COMPANY SECRETARYAs at 31 December 2019 and the date of this report, Ms. Zhang Li served as the company secretary of the Company and was responsible for, amongst other things, ensuring that the Group complied with all obligations imposed by the Listing Rules and the Code on Takeovers and Mergers and Share Buy-backs.Ms. Zhang currently serves as the manager of the Securities and Legal Department of the Company. Ms. Zhang is also a director of Yueyun Transportation (HK) Company Limited () ). Ms. Zhang joined the Company in March 2001 and has worked as the deputy manager of the securities department. Prior to joining the Company, Ms. Zhang worked in the securities department of Guangzhou Economic and Technological Development Zone International Trust and Investment Company (). Ms. Zhang obtained a bachelor of economics degree from Huazhong University of Science and Technology () in 1993 and obtained a master of economics degree from Jinan University () in 2002. She has obtained the professional qualification as a senior economist.During the year, Ms. Zhang had complied with Rule 3.29 of the Listing Rules by taking no less than 15 hours of relevant professional training."
,132 - 139,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900565.pdf,136PricewaterhouseCoopers
,5 - 8,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900227.pdf,"IndependentAuditor™sReportTotheUnitholdersofVanguardFTSEAsiaexJapanIndexETF,VanguardFTSEAsiaexJapanHighDividendYieldIndexETF,VanguardFTSEDevelopedEuropeIndexETF,VanguardFTSEJapanIndexETF,VanguardS&P500IndexETFandVanguardTotalChinaIndexETF(Continued)Auditor™sResponsibilitiesfortheAuditoftheFinancialStatements(Continued)WecommunicatewiththeManagementregarding,amongothermatters,theplannedscopeandtimingoftheauditandsignificantauditfindings,includinganysignificantdeficienciesininternalcontrolthatweidentifyduringouraudit.WealsoprovidetheManagementwithastatementthatwehavecompliedwithrelevantethicalrequirementsregardingindependence,andtocommunicatewiththemallrelationshipsandothermattersthatmayreasonablybethoughttobearonourindependence,andwhereapplicable,relatedsafeguards.FromthematterscommunicatedwiththeManagement,wedeterminethosemattersthatwereofmostsignificanceintheauditofthefinancialstatementsofthecurrentperiodandarethereforethekeyauditmatters.Wedescribethesemattersinourauditor™sreportunlesslaworregulationprecludespublicdisclosureaboutthematterorwhen,inextremelyrarecircumstances,wedeterminethatamattershouldnotbecommunicatedinourreportbecausetheadverseconsequencesofdoingsowouldreasonablybeexpectedtooutweighthepublicinterestbenefitsofsuchcommunication.ReportonMattersundertheRelevantDisclosureProvisionsoftheTrustDeedandAppendixEoftheSFCCodeInouropinion,thefinancialstatementshavebeenproperlyprepared,inallmaterialrespects,inaccordancewiththerelevantdisclosureprovisionsoftheTrustDeedandAppendixEoftheSFCCode.Theengagementpartnerontheauditresultinginthisindependentauditor™sreportisTsui,MariaYukHung.PricewaterhouseCoopersCertifiedPublicAccountantsHongKong,24April2020-7-"
,119 - 123,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900023.pdf,⁄™™ˆ˙˝˝˙˝˙˝˙˛ˇ˙˝˙˝˙˛ˇ˙˝˙˝˙˛ˇ˙ˆ˙˛ˇ˙
,266 - 275,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042803580.pdf,
,102 - 106,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042803510.pdf,"1066. AUDITORS™ RESPONSIBILITIES FOR THE AUDIT OF THE FINANCIAL STATEMENTS (CONTINUED)We communicate with the Governance regarding the planned scope, timing of the audit and significant audit findings, including deficiencies worth of attention in internal control that we identify during our audit.We also provide the Governance with a statement that we have complied with relevant ethical requirements regarding independence and to communicate with the Governance all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Governance, we determine those matters that were of most significance in the audit of the financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditors™ report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Ernst & Young Hua Ming LLPBeijing, the People™s Republic of ChinaAn Xiu Yan (Engagement Partner)Chinese Certified Public AccountantGong WeiChinese Certified Public Accountant30 March 2020"
,80 - 80,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042803502.pdf,"80DIRECTORS™ INTERESTDetails of the Directors™ competing interest have been disclosed in the section headed ﬁCorporate Governance Report Œ Directors™ Interest in Competing Businessﬂ on pages 92 to 94 of this annual report. To address any potential competing interest of the Directors, the Company has implemented the following corporate governance measures to safeguard the interests of the Company and the shareholders of the Company:(a) each of the Directors is required to attend training sessions to strengthen his/her awareness of his/her fiduciary duties as a Director which require, among others, that he/she acts for the benefit and in the best interests of the Company when a potential conflict of interest arises;(b) any conflicted Director must abstain from voting (nor being counted in the quorum in relation) to any resolution of the Board in respect of any contract, transaction or arrangement in which such conflicted Director or any of his/her close associates is materially interested;(c) the independent non-executive Directors will review the competing interests held by any Directors who are involved in business in competition with the Company, and such Directors must provide all the information necessary for the review to the independent non-executive Directors; and(d) the decision on matters reviewed by the independent non-executive Directors will be disclosed in the annual reports of the Company.DIRECTORS™ RESPONSIBILITY ON FINANCIAL STATEMENTSThe Directors acknowledge their responsibility to prepare the audited consolidated financial statements for the year ended 31 December 2019 to give a true and fair view of the affairs of the Company and the Group. According to code provision C.1.1 of the CG Code, the management shall provide necessary explanation and information to the Board so that the Board can have a preliminary assessment of the financial statements before they are submitted to the Board for approval. The Company will also provide monthly reports on the results, positions and prospects of the Group to all members of the Board.The statement of the independent auditors of the Company about their reporting responsibilities on the financial statements is set out in the Independent Auditor™s Report on pages 115 to 117 of this annual report.9294(a) (b) (c) (d) C.1.1115117"
,64 - 122,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042802887.pdf,"12130. Possible Impact of Amendments, New Standards and Interpretations Issued But Not Yet Effective for the Accounting Year Beginning on January 1, 2019Up to the date of these financial statement, the IASB has issued a number of amendments and a new standard, IFRS 17, Insurance contracts, which are not yet effective for the year ended December 31, 2019 and which have not been adopted in these financial statements. These developments include the following which may be relevant to the Group. Effective for accounting years beginning on or afterAmendments to IFRS 3, Definition of a businessJanuary 1, 2020Amendments to IAS 1 and IAS 8, Definition of materialJanuary 1, 2020IFRS 17, Insurance contractsJanuary 1, 2021Amendments to IFRS 10 and IAS 28, Sale or contribution  of assets between an investor and its associate or  joint ventureTo be determinedThe Group is in the process of making an assessment of what the impact of these developments is expected to be in the period of initial application. So far it has concluded that the adoption of them is unlikely to have a significant impact on the consolidated financial statements."
,55 - 55,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042801961.pdf,"ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT55Annual Report 2019˜Century Sage Scienti˜c Holdings LimitedSupply Chain ManagementThe Group has established and operated a material procurement management system and a supplier management system. Based on the material requirement plans and the categories of materials required, the Group usually purchases materials through price rationing and sentinel procurement; the Group will shortlist and handpick suppliers through a screening and evaluation process based on quality and price. Furthermore, the Group also carries out field investigations on its suppliers when necessary, with a view to ensuring that its suppliers are well equipped to provide guaranteed quality and are able to manage safety and other environmental issues.Besides, the Group has also maintained good cooperation relationship with the suppliers. Products and technology skills trainings are provided by the Company™s certain suppliers including top-tier multinational technology companies from time to time, in an effort to strengthen the marketing sales and cooperation relationship between each other.Product ResponsibilityClient satisfaction and day-to-day quality control are essential to our business. The Group keeps close contact with our customers to take instructions, report work status and provide advices from time to time. Meanwhile, we constantly collect feedback from our customers, monitor public responses and produce evaluation reports for evaluation and fine- tuning purposes. To further enhance our overall product and service quality, half-monthly/monthly meeting will be held to review any incident being reported and the relevant rectification measures, and make recommendations to improve the working procedures and perfect the product features. Minutest of these meetings, together with any improvement proposals, will be passed to the management team for record and further discussion. The Group complies stringently with relevant laws and regulations on product responsibility, for example, the PRC Product Quality Law ().During the year 2019, the Group did not experience any compliant from our customers which had materially and adversely affect our business nor did the Group make any material compensation to our customers.Anti-corruption, Extortion, Fraud and Money LaunderingThe Group strictly complies with the provisions in respect of corruption and bribery of the Criminal Law and the Company Law of the places where it operates, and has developed the Anti-fraud Management System of the Group (), which outlines the goal, policies and procedures for anti-corruption, extortion, fraud and money laundering of the Group in prevention and crackdown of corruption behaviour, so as to ensure integrity operation and healthy development of the Company.The Group performs annual self-evaluation to look at the implementation of its regulations and other relevant code of conducts, the objective of which is to ensure their thorough and consistent execution in actual operations and management practices, with a view to balancing and safeguarding interests of the Group and its stakeholders, and establishing long-term partnerships. The Group also employs independent auditors to carry out external audits on the Group, aiming to prevent and control corruptive or unethical behaviors within the Group through internal supervision and external audits.During the year 2019, the Group was not aware of any material non-compliance with relevant standards, rules and regulations relating to corruption, extortion, fraud or money laundering. Furthermore, there were no complaints of corruption against the Group or any of its staff during the year 2019.Charitable ActivitiesIn or about December 2019, the outbreak of COVID-19 emerged in Wuhan and rapidly spread throughout among China. China has taken comprehensive and stringent measures to establish a nationwide joint prevention and control system. In February 2020, the Company arranged a donation of a total of nearly 8,000 to Wuhan. People with the same determination can overcome all challenges. We firmly believe that with the concerted efforts of Chinese people and the international community, we will be able to beat the epidemic and win victory."
,75 - 80,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042801955.pdf,80Certified Public Accountants
,91 - 97,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042801266.pdf,97 Ł Deloitte Touche Tohmatsu Certified Public Accountants 
,69 - 77,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042801222.pdf,"INDEPENDENT AUDITOR™S REPORT   77 HOH, Yoon HoongErnst & Young PLT202006000003 (LLP0022760-LCA) & AF 0039Kuala Lumpur, Malaysia2020422OTHER MATTERSThis report is made solely to the members of the Company, as a body, and for no other purpose. We do not assume responsibility to any other person for the content of this report.The engagement partner on the audit resulting in this independent auditor™s report is HOH, Yoon Hoong.Ernst & Young PLT202006000003 (LLP0022760-LCA) & AF 0039Chartered AccountantsKuala Lumpur, Malaysia22 April 2020"
,46 - 84,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042801016.pdf,"83The audit department mainly completed the following work during the Reporting Period:Reporting PeriodNumber of Audit ReportsNumber of Audit Follow-up ReportsNumber of Leaving/ Transferring Post Audit Reports    Year 2018120First quarter of 2019010Second quarter of 2019101Third quarter of 2019010Total241INDEPENDENT AUDITORSGrant Thornton (Special General Partnership) (ﬁGrant Thorntonﬂ) have written to the Audit Committee confirming that they are independent to the Company and that there is no relationship between Grant Thornton and the Company which may affect their independence. During the Reporting Period, Grant Thornton provided the Company with the following services:Unit: RMB™000Services20192018   Audit service1,2001,202Non-audit service408343Total1,6081,545CONTINUOUS IMPROVEMENTThe Company has made continuous efforts to improve its corporate governance standards with an aim to continue to enhance and, where appropriate, improve our corporate governance practices in light of the evolving regulatory requirements and international development trends based on our extensive experience accumulated for years, so as to realize the best interests of shareholders."
,5 - 111,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042800824.pdf,111  Independent Auditor™s Report (Cont™d)† † † † † † 
,74 - 78,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042800796.pdf,"Auditor™s Responsibilities for the Audit of the Consolidated Financial StatementsOur responsibility is to conduct an audit of the Group™s consolidated financial statements in accordance with Hong Kong Standards on Auditing issued by the HKICPA and to issue an auditor™s report. We report solely to you, as a body, and for no other purpose. We do not assume responsibility towards or accept liability to any other person for the contents of this report. However, because of the matters described in the Basis for Disclaimer of Opinion section of our report, we were not able to obtain sufficient appropriate audit evidence to provide a basis for an audit opinion on these consolidated financial statements.We are independent of the Group in accordance with the HKICPA™s Code of Ethics for Professional Accountants (ﬁthe Codeﬂ), and we have fulfilled our other ethical responsibilities in accordance with the Code.The engagement partner on the audit resulting in this independent auditor™s report is FU, Ho Kee.PricewaterhouseCoopersHong Kong, 24 April 2020  "
,189 - 189,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042800712.pdf,"1894. COMMITTEES OF THE BOARD(1) Audit CommitteeIn August 1999, the Company established the Audit Committee. Its principal responsibilities include: to review and monitor the quality and procedure of the Group™s financial reporting; to review the completeness and effectiveness of the Company™s financial monitoring internal control, internal audit and risk management system and; the soundness and effectiveness of internal control, to consider the appointment of independent auditors and to co-ordinate and to review the efficiency and quality of their work.The Audit Committee of the seventh session of the Board comprises Mr. Wong Hin Wing (chairperson of the Audit Committee), Mr. Chu Xiaoping, Mr. Jiang Wenqi and Ms. Wang Weihong. All four of them are independent non-executive Directors and are qualified under the relevant requirements, whose term of office commenced from 23 June 2017 up to the date on which members of the new session of the Board are elected.Major tasks accomplished by the Audit Committee in 2019 including:1) held 9 meetings in 2019 and each of the members of the committee attended all the meetings, in which the members reviewed the 2018 Annual Report, 2019 Interim Report and financial reports of the Group as well as the recommendations on management issued by external auditors and the respective response by the Company™s management.2) reviewed the accounting policies adopted by the Group and the relevant issues regarding accounting practice;3) reviewed the Company™s internal control evaluation report for 2018 and audit risk control work plan for 2019;4) advised the Board regarding the change of auditing firm for the Reporting Period;5) advised the Company on major events of the Company or reminding the management of relevant risks and reviewed the effectiveness of risk management and internal monitoring system."
,47 - 55,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042800534.pdf,"5454From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement director on the audit resulting in this independent auditor™s report is Lai Wing Ip.Ascenda Cachet CPA LimitedHong Kong, 30 March 2020Lai Wing IpPractising Certificate Number P07296 P07296"
"APPOINTMENT OF EXTERNAL AUDITOR AND INTERNAL CONTROL CONSULTANTOn 24 April 2019, the Board announced that, the Board resolved to appoint Ernst & Young Hua Ming as the auditor of the Company for the year 2019 and resolved to appoint BDO China Shu Lun Pan",123 - 127,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0427/2020042700980.pdf,"127AUDITOR™S REMUNERATIONStatement of the Company™s external auditor related to the reporting responsibilities of consolidated financial statements is recorded in the Independent Auditor™s Report on pages 139 of this annual report. Remuneration of the Company™s external auditor Ernst & Young Hua Ming LLP (the ﬁErnst & Young Hua Mingﬂ) paid/payable for the year ended 31 December 2019 was RMB10.5 million. Remuneration of the Company™s external internal control consultant, BDO China Shu Lun Pan Certified Public Accountants LLP, paid/payable for the year ended 31 December 2019 was RMB0.8 million.APPOINTMENT OF EXTERNAL AUDITOR AND INTERNAL CONTROL CONSULTANTOn 24 April 2019, the Board announced that, the Board resolved to appoint Ernst & Young Hua Ming as the auditor of the Company for the year 2019 and resolved to appoint BDO China Shu Lun Pan Certified Public Accountants LLP as the internal control consultant of the Company for the year 2019 with a term until the conclusion of the next annual general meeting. This appointment has been approved by the 2018 annual general meeting. For further details, please refer to the Company™s circular dated on 23 April 2019 and announcement dated 16 May 2019.COMPANY SECRETARYMr. GUO Binghe, the company secretary of the Company, is responsible for raising corporate governance-related suggestions to the Board, and ensuring compliance with policies and procedures of the Board, applicable laws, rules and regulations.In order to maintain high-standard corporate governance and ensure that the Company complies with the Listing Rules and applicable Hong Kong laws, we also appointed Ms. LEUNG Suet Lun of the listing services department of TMF Hong Kong Limited (a secretarial company service provider) as assistant company secretary of the Company to provide assistance to Mr. GUO in the discharge of his duties as the company secretary.For the year ended 31 December 2019, Mr. GUO and Ms. LEUNG have already completed professional training of no less than 15 hours in accordance with Rule 3.29 of the Listing Rules, respectively.",False
,40 - 40,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0427/2020042700891.pdf,"40All Directors understand the importance of continuous professional development and are committed to participate any suitable training to develop and refresh their knowledge and skills.ACCOUNTABILITY AND AUDITFinancial ReportingThe management provides such explanation and information to the Board and reports regularly to the Board on financial position and prospects of the business of the Group so as to enable the Board to make an informed assessment of the financial and other information put before the Board for approval.The Directors acknowledge their responsibilities for preparing the consolidated financial statements of the Group. The Directors™ responsibilities in the preparation of the consolidated financial statements and the auditor™s responsibilities are set out in the Independent Auditor™s Report. The responsibility of the external auditor is to form an independent opinion, based on their audit, on those consolidated financial statements prepared by the Board and to report their opinion to the members of the Company. A statement by auditor about their reporting responsibility is set out in the Independent Auditor™s Report.RISK MANAGEMENT AND INTERNAL CONTROLThe Board acknowledges its responsibility for overseeing the Group™s risk management and internal control systems and reviewing their effectiveness. The Audit Committee assists the Board in fulfilling its corporate governance roles in the Group™s financial, operational, compliance, risk management and internal controls, and the resourcing of the finance and internal audit functions."
,130 - 137,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0427/2020042700729.pdf,PricewaterhouseCoopers
,205 - 210,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0427/2020042700659.pdf,"209   201  We communicate with the directors regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit. We also provide the directors with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards. From the matters communicated with the directors, we determine those matters that were of most significance in the audit of the financial statements of the current period and are therefore the KAMs. We describe these matters rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication. Report on the Remuneration Report We have audited the Remuneration Report included in pages 18 to 35 of the dirDecember 2019. The directors of the Company are responsible for the preparation and presentation of the Remuneration Report in accordance with section 300A of the Corporations Act 2001. Our responsibility is to express an opinion on the Remuneration Report, based on our audit conducted in accordance with Australian Auditing Standards. Opinion on the Remuneration Report In our opinion, the Remuneration Report of Yancoal Australia Ltd, for the year ended 31 December 2019, complies with section 300A of the Corporations Act 2001. Responsibilities The directors of the Company are responsible for the preparation and presentation of the Remuneration Report in accordance with section 300A of the Corporations Act 2001. Our responsibility is to express an opinion on the Remuneration Report, based on our audit conducted in accordance with Australian Auditing Standards.   ShineWing Australia  Chartered Accountants   R Blayney Morgan Partner Sydney, 8 February 2020 "
,88 - 88,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0427/2020042700607.pdf,"88During the reporting period, the total fees paid and payable to the auditors for audit service to the Group (with the meaning ascribed to it under the Independent Auditor™s Report) were RMB3,380,000 and the fees paid and payable for internal control audit were RMB800,000. This remuneration is different from the ﬁAudit feeﬂ under ﬁGeneral and administrative expensesﬂ of Note V (44) to Auditor™s Report, due to the fact that item ﬁAudit feeﬂ under ﬁGeneral and administrative expensesﬂ also included fees payable to audit service providers other than Ernst & Young Hua Ming LLP for annual audit and other audit management services. During the reporting period, the auditors of the Group (including any entity that is under common control, ownership or management with the auditors, or an entity that would be reasonably concluded by a reasonable and informed third party knowing all relevant information to be part of the domestic or international business of the auditors) did not provide any non-audit services to the Group.G. Senior Management™s Interests in Shares and RemunerationDuring the reporting period, none of the senior management had any interests in the shares of the Company.Details of remuneration payable to senior management in 2019 are as follows.Pre-tax remuneration paid by the Company during the reporting periodNamePosition(RMB)Wei Minghui*Executive director and general manager829,200Sun Dequan*General manager0Tai Jingang*Vice general manager0Yin Kaiyang*Vice general manager0Luo Dongxi*Vice general manager0Wang PingChief financial officer493,300Zhang Tie*Chief safety officer0Wang HuiyingSecretary to the board, joint company secretary352,900Lee Kin Yu, ArthurQualified accountant, joint company secretary1,316,500Xing Jianfei*Vice general manager404,500Zhao Qiang*Vice general manager86,100Wang Jilu*Vice general manager, secretary to the board67,600* Mr. Wei Minghui was resigned as the general manager on 17 December 2019 and appointed as the chairman on 31 December 2019; Mr. Sun Dequan was appointed as the general manager on 31 December 2019; Mr. Tai Jingang, Mr. Yin Kaiyang and Mr. Luo Dongxi were appointed as the deputy general managers on 31 December 2019; Mr. Zhang Tie was appointed as the chief safety officer on 31 December 2019; Mr. Xing Jianfei was resigned as the deputy general manager on 17 December 2019; Mr. Zhao Qiang was resigned as the deputy general manager on 29 April 2019; and Mr. Wang Jilu was resigned as the deputy general manager and secretary to the board on 28 February 2019."
,25 - 76,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0427/2020042700367.pdf,"76˜˚˛˝˜˙ˆˆ˜˙ˆˇ˙˛ˆINDEPENDENT AUDITOR™S REPORT (continued)based on the audit evidence obtained, whether a material uncertainty exists related to events or conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Group to cease to continue as a going concern.transactions and events in a manner that achieves fair presentation.are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine the matter that was of most key audit matter. We describe the matter in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be The engagement partner on the audit resulting in this independent auditor™s report is Shun Lung Wai.Ernst & YoungHong Kong27 March 2020"
,178 - 183,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0426/2020042600019.pdf,
