auditor,auditReportPageRange,link,page_text,normal
Asian Alliance (HK) CPA Limited,45 - 50,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900338.pdf,"50AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS Œ ContinuedFrom the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Asian Alliance (HK) CPA LimitedCertified Public Accountants (Practising)Chung Chi ChiuPractising Certificate Number: P066108/F., Catic Plaza8 Causeway RoadCauseway BayHong Kong27 March 2020",True
Certified ,229 - 240,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900235.pdf,"240Independent Auditor™s Report  (Continued)    1082020423 Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the Group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and communicate with them all relationships and other matters that may reasonably be thought to bear on our independence and, where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Tse Wong Pui.Certified Public Accountants8th Floor, Prince™s Building10 Chater RoadCentral, Hong Kong23 April 2020",True
Foo Kon Tan,58 - 64,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900229.pdf,"Independent Auditor™s Report 64Other MatterThe financial statements for the financial year ended 31 December 2018 were audited by another firm of auditors whose report dated 28 March 2019 expressed an unmodified opinion on those financial statements.Foo Kon Tan LLPPublic Accountants and Chartered AccountantsSingapore, 30 March 2020",True
BDO Limited,93 - 97,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900177.pdf,"96AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (continued)From the matters communicated with the directors, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.BDO LimitedCertified Public AccountantsLee Ka Leung, DanielPractising Certificate no. P01220Hong Kong, 22 April 2020",True
PricewaterhouseCoopers,68 - 73,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900171.pdf,"73Auditor™s Responsibilities for the Audit of the Consolidated Financial Statements (continued) Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Chan Chiu Kong, Edmond.PricewaterhouseCoopersCertified Public AccountantsHong KongMarch 25, 2020",True
Ernst & Young,39 - 43,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900133.pdf,"Annual Report 2019  |   Yunnan Energy International Co. Limited43Ernst & Young22/F, CITIC Tower1 Tim Mei AvenueCentral, Hong KongTel : +852 2846 9888Fax : +852 2868 4432ey.com122Auditor™s responsibilities for the audit of the consolidated financial statements Œ continuedFrom the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is CHENG Man.Ernst & YoungCertified Public AccountantsHong Kong26 March 2020",True
Deloitte Touche Tohmatsu,153 - 161,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900129.pdf,"161  |  •From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in the independent auditor’s report is Tse Fung Chun.Deloitte Touche TohmatsuCertified Public AccountantsHong Kong27 March 2020",True
PricewaterhouseCoopers,58 - 62,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900127.pdf,"TOT BIOPHARM INTERNATIONAL COMPANY LIMITED ANNUAL REPORT 201962Independent auditor’s reportAUDITOR’S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (cont’d)We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor’s report is Chan Chiu Kong, Edmond.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 17 March 2020",True
KPMG,86 - 99,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900119.pdf,"102020323We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and communicate with them all relationships and other matters that may reasonably be thought to bear on our independence and, where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Li Shiu Chung.KPMGCertified Public Accountants8th Floor, Prince™s Building10 Chater RoadCentral, Hong Kong23 March 2020",True
Moore Stephens CPA Limited,19 - 62,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900115.pdf,"CHINA TOUYUN TECH GROUP LIMITED62INDEPENDENT AUDITOR™S REPORTevidence obtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Group™s ability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to the related disclosures in the consolidated financial statements or, if such disclosures are inadequate, to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Group to cease to continue as a going concern.and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Moore Stephens CPA LimitedCertified Public AccountantsChan King KeungPractising Certificate Number: P06057Hong Kong, 21 April 2020",True
Deloitte & Touche,67 - 71,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900091.pdf,"71Independent Auditor™s Report (continued) AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (continued)From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Mr. Ng Meng Chuan.Deloitte & Touche LLPPublic Accountants andChartered AccountantsSingapore23 March 2020",True
Ernst & Young,52 - 56,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900081.pdf,"56Ł Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.Ł Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is LEUNG WAI LAP, PHILIP.Ernst & YoungCertified Public Accountants22nd Floor, CITIC Tower,1 Tim Mei Avenue, Central,Hong Kong26 March 2020",True
KPMG,86 - 91,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900079.pdf,"Independent Auditor’s Report90SinoMedia Holding Limited  Annual Report 2019AUDITOR’S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (CONTINUED)We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and communicate with them all relationships and other matters that may reasonably be thought to bear on our independence and, where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor’s report is Simon Ho.KPMGCertified Public Accountants8th Floor, Prince’s Building10 Chater RoadCentral, Hong Kong27 March 2020",True
HLB Hodgson Impey Cheng Limited,48 - 110,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900049.pdf,"K2 F&B HOLDINGS LIMITED  /  ANNUAL REPORT 2019110Independent Auditors™ Report (Continued)P058952020327AUDITORS™ RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Continued)From the matters communicated with Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditors™ report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement director on the audit resulting in this independent auditors™ report is Shek Lui.HLB Hodgson Impey Cheng LimitedCertified Public AccountantsShek LuiPractising Certificate Number: P05895Hong Kong, 27 March 2020",True
Deloitte Touche Tohmatsu,59 - 65,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900037.pdf,"65Obtain an understanding of internal control relevant to the audit in order to design audit procedures that are appropriate in the circumstances, but not for the purpose of expressing an opinion on the effectiveness of the Group™s internal control.Evaluate the appropriateness of accounting policies used and the reasonableness of accounting estimates and related disclosures made by the directors of the Company.Conclude on the appropriateness of the directors™ use of the going concern basis of accounting and, based on the audit evidence obtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Group™s ability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to the related disclosures in the consolidated financial statements or, if such disclosures are inadequate, to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Group to cease to continue as a going concern.Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation. Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with those charged with governance regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current year and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in the independent auditor™s report is Chu Wai Chung.Deloitte Touche TohmatsuCertified Public AccountantsHong Kong30 March 2020",True
SHINEWING (HK) CPA Limited,80 - 87,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900027.pdf,"87COGOBUY GROUP  Annual Report 2019 Conclude on the appropriateness of the Company™s directors™ use of the going concern basis of accounting and, based on the audit evidence obtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Group™s ability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to the related disclosures in the consolidated financial statements or, if such disclosures are inadequate, to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Group to cease to continue as a going concern. Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation. Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current year and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Mr. Kwan Chi Fung.SHINEWING (HK) CPA LimitedCertified Public AccountantsKwan Chi FungPractising Certificate Number: P06614Hong Kong31 March 2020",True
Ernst & Young,118 - 124,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900011.pdf,"123From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor's report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor's report is Tjen, Michael.Ernst & YoungCertified Public AccountantsHong Kong28 March 2020",True
PricewaterhouseCoopers,82 - 90,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042900005.pdf,"089INDEPENDENT AUDITOR™S REPORTSINOTRUK (HONG KONG) LIMITED | ANNUAL REPORT 2019From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Dou Wang, Angel.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 31 March 2020",True
Elite Partners CPA Limited,71 - 75,https://www1.hkexnews.hk/listedco/listconews/gem/2020/0429/2020042900001.pdf,"75Independent Auditor™s Report We also provide those charged with governance with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with those charged with governance, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement director on the audit resulting in this independent auditor™s report is Mr. Yip Kai Yin with practising certificate number P05131.Elite Partners CPA LimitedCertified Public Accountants10/F, 8 Observatory Road, Tsim Sha Tsui, Kowloon Hong Kong 22 April 2020",True
KPMG,98 - 104,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042803628.pdf,"103We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and communicate with them all relationships and other matters that may reasonably be thought to bear on our independence and, where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Au, Yat Fo.KPMGCertified Public Accountants8th Floor, Prince™s Building10 Chater RoadCentral, Hong Kong30 March 2020",True
ZHONGHUI ANDA CPA Limited,72 - 75,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042803520.pdf,"Independent Auditor™s Report 75A further description of our responsibilities for the audit of the consolidated financial statements is located at the http://www.hkicpa.org.hk/en/standards-and-regulations/standards/auditing-assurance/auditre/ This description forms part of our auditor™s report.ZHONGHUI ANDA CPA LimitedCertified Public AccountantsNgan Hing HonAudit Engagement DirectorPractising Certificate Number P05294Hong Kong, 24 April 2020",True
KPMG,75 - 81,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042803412.pdf,"AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Continued)We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence and communicate with them all relationships and other matters that may reasonably be thought to bear on our independence and, where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Yeung Ka Chun.KPMGCertified Public Accountants8th Floor, Prince™s Building10 Chater RoadCentral, Hong KongMarch 31, 2020081",True
Ernst & Young,68 - 75,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042803356.pdf,"INDEPENDENT AUDITOR™S REPORT  751222020330AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Cont™d)From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Ng Siu Ki Ricky.Ernst & YoungCertified Public Accountants22/F, CITIC Tower1 Tim Mei AvenueCentral, Hong Kong30 March 2020",True
Yongtuo Fuson CPA Limited,52 - 57,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042803330.pdf,"CHINA GEM HOLDINGS LIMITED   ANNUAL REPORT 201957In preparing the consolidated financial statements, the Directors are responsible for assessing the Group™s ability to continue as a going concern, disclosing, as applicable, matters related to going concern and using the going concern basis of accounting unless the Directors either intend to liquidate the Group or to cease operations, or have no realistic alternative but to do so.The Audit Committee is responsible for overseeing the Group™s financial reporting process.AUDITOR™S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTSThe Directors are responsible for the preparation of the consolidated financial statements that give a true and fair view in accordance with HKFRSs issued by the HKICPA and the disclosure requirements of the Hong Kong Companies Ordinance, and for such internal control as the Directors determine is necessary to enable the preparation of consolidated financial statements that are free from material misstatement, whether due to fraud or error.We are independent of the Group in accordance with the HKICPA™s Code of Ethics for Professional Accountants (the ﬁCodeﬂ), and we have fulfilled our other ethical responsibilities in accordance with the Code.The engagement partner on the audit resulting in this independent auditor™s report is Lee Yan Fai.Yongtuo Fuson CPA LimitedCertified Public AccountantsLee Yan FaiPracticing Certificate Number P06078Hong Kong, 30 March 2020",True
PricewaterhouseCoopers,93 - 101,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042803312.pdf," 100Zhengzhou Coal Mining Machinery Group Co., Ltd. Annual Report 2019Independent Auditor’s ReportAuditor’s Responsibilities for the Audit of the Consolidated Financial Statements (Continued)• Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor’s report is Lee Chung Bor.PricewaterhouseCoopersCertified Public AccountantsHong Kong, 27 March 2020• ",True
Confucius International CPA Limited,69 - 73,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042803207.pdf,"     Annual Report 201973Independent Auditor’s ReportAUDITOR’S RESPONSIBILITIES FOR THE AUDIT OF THE CONSOLIDATED FINANCIAL STATEMENTS (Continued)• conclude on the appropriateness of the Directors’ use of the going concern basis of accounting and, based on the audit evidence obtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Group’s ability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor’s report to the related disclosures in the consolidated financial statements or, if such disclosures are inadequate, to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor’s report. However, future events or conditions may cause the Group to cease to continue as a going concern.• evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.• obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Directors, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor’s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.Confucius International CPA LimitedCertified Public AccountantsChan Lap ChiPractising Certificate Number: P04084Hong Kong31 March 2020",True
PricewaterhouseCoopers,46 - 53,https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0428/2020042803203.pdf,"53Ł Conclude on the appropriateness of the directors™ use of the going concern basis of accounting and, based on the audit evidence obtained, whether a material uncertainty exists related to events or conditions that may cast significant doubt on the Group™s ability to continue as a going concern. If we conclude that a material uncertainty exists, we are required to draw attention in our auditor™s report to the related disclosures in the consolidated financial statements or, if such disclosures are inadequate, to modify our opinion. Our conclusions are based on the audit evidence obtained up to the date of our auditor™s report. However, future events or conditions may cause the Group to cease to continue as a going concern.Ł Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.Ł Obtain sufficient appropriate audit evidence regarding the financial information of the entities or business activities within the Group to express an opinion on the consolidated financial statements. We are responsible for the direction, supervision and performance of the group audit. We remain solely responsible for our audit opinion.We communicate with the Audit Committee regarding, among other matters, the planned scope and timing of the audit and significant audit findings, including any significant deficiencies in internal control that we identify during our audit.We also provide the Audit Committee with a statement that we have complied with relevant ethical requirements regarding independence, and to communicate with them all relationships and other matters that may reasonably be thought to bear on our independence, and where applicable, related safeguards.From the matters communicated with the Audit Committee, we determine those matters that were of most significance in the audit of the consolidated financial statements of the current period and are therefore the key audit matters. We describe these matters in our auditor™s report unless law or regulation precludes public disclosure about the matter or when, in extremely rare circumstances, we determine that a matter should not be communicated in our report because the adverse consequences of doing so would reasonably be expected to outweigh the public interest benefits of such communication.The engagement partner on the audit resulting in this independent auditor™s report is Cheng Kwong On.PricewaterhouseCoopers Certified Public AccountantsHong Kong, 27 March 2020",True
